date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:52	475/475	---MCZ	200	added ('OK')	text/plain	etag:cacheable:b00868d320bede6f829b4011fc48b187	https://brisita.com/robots.txt		(from )
15:19:01	174854/174854	---MCZ	200	added ('OK')	text/html	etag:cacheable:6e0f498108b29a1b7be2854706ce1afe	https://brisita.com/	C:/Users/radou/Desktop/brisita.com/brisita.com/index.html	(from )
15:19:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2014:19:02%20GMT	http://cdn.shopify.com/s/files/1/0549/7608/6067/files/Capture_cd52811a-3dc5-4c64-a7b9-71cbe72ee23e_32x32.png?v=1647785814	C:/Users/radou/Desktop/brisita.com/cdn.shopify.com/s/files/1/0549/7608/6067/files/Capture_cd52811a-3dc5-4c64-a7b9-71cbe72ee23e_32x32.005f4.delayed	(from https://brisita.com/)
15:19:02	731/731	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Apr%202022%2017:53:57%20GMT	https://cdn.shopify.com/s/files/1/0549/7608/6067/files/Capture_cd52811a-3dc5-4c64-a7b9-71cbe72ee23e_32x32.png?v=1647785814	C:/Users/radou/Desktop/brisita.com/cdn.shopify.com/s/files/1/0549/7608/6067/files/Capture_cd52811a-3dc5-4c64-a7b9-71cbe72ee23e_32x3205f4.png	(from https://brisita.com/)
15:19:03	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2016%20May%202022%2014:07:42%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Users/radou/Desktop/brisita.com/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://brisita.com/)
15:19:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2014:19:03%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	C:/Users/radou/Desktop/brisita.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	(from https://brisita.com/)
15:19:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2014:19:05%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/radou/Desktop/brisita.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://brisita.com/)
15:19:04	9921/9921	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2011%20May%202022%2023:18:02%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	C:/Users/radou/Desktop/brisita.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	(from https://brisita.com/)
15:19:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2014:19:10%20GMT	http://cdn.shopify.com/s/files/1/0549/7608/6067/t/11/assets/theme.scss.css?v=72847331331857187031648401803	C:/Users/radou/Desktop/brisita.com/cdn.shopify.com/s/files/1/0549/7608/6067/t/11/assets/theme.scss3c9d.css	(from https://brisita.com/)
15:19:09	37632/37632	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2001:45:15%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/radou/Desktop/brisita.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://brisita.com/)
15:19:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2014:19:12%20GMT	http://cdn.shopify.com/s/files/1/0549/7608/6067/t/11/assets/lazysizes.min.js?v=174358363404432586981647783416	C:/Users/radou/Desktop/brisita.com/cdn.shopify.com/s/files/1/0549/7608/6067/t/11/assets/lazysizes.min9670.js	(from https://brisita.com/)
15:19:12	185421/185421	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2019:52:44%20GMT	https://cdn.shopify.com/s/files/1/0549/7608/6067/t/11/assets/theme.scss.css?v=72847331331857187031648401803	C:/Users/radou/Desktop/brisita.com/cdn.shopify.com/s/files/1/0549/7608/6067/t/11/assets/theme.scss3c9d.css	(from https://brisita.com/)
15:19:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2014:19:13%20GMT	http://cdn.shopify.com/s/javascripts/currencies.js	C:/Users/radou/Desktop/brisita.com/cdn.shopify.com/s/javascripts/currencies.js	(from https://brisita.com/)
